DateHeure;Value
01.04.2021 00:00;166
01.04.2021 00:30;164
01.04.2021 01:00;164
01.04.2021 01:30;164
01.04.2021 02:00;166
01.04.2021 02:30;168
01.04.2021 03:00;172
01.04.2021 03:30;177
01.04.2021 04:00;182
01.04.2021 04:30;187
01.04.2021 05:00;191
01.04.2021 05:30;194
01.04.2021 06:00;195
01.04.2021 06:30;197
01.04.2021 07:00;197
01.04.2021 07:30;197
01.04.2021 08:00;197
01.04.2021 08:30;197
01.04.2021 09:00;197
01.04.2021 09:30;199
01.04.2021 10:00;202
01.04.2021 10:30;203
01.04.2021 11:00;205
01.04.2021 11:30;202
01.04.2021 12:00;197
01.04.2021 12:30;191
01.04.2021 13:00;185
01.04.2021 13:30;180
01.04.2021 14:00;177
01.04.2021 14:30;176
01.04.2021 15:00;174
01.04.2021 15:30;173
01.04.2021 16:00;172
01.04.2021 16:30;172
01.04.2021 17:00;172
01.04.2021 17:30;169
01.04.2021 18:00;166
01.04.2021 18:30;162
01.04.2021 19:00;160
01.04.2021 19:30;161
01.04.2021 20:00;164
01.04.2021 20:30;167
01.04.2021 21:00;169
01.04.2021 21:30;169
01.04.2021 22:00;169
01.04.2021 22:30;166
01.04.2021 23:00;162
01.04.2021 23:30;157
02.04.2021 00:00;154
02.04.2021 00:30;152
02.04.2021 01:00;155
02.04.2021 01:30;158
02.04.2021 02:00;164
02.04.2021 02:30;172
02.04.2021 03:00;178
02.04.2021 03:30;185
02.04.2021 04:00;190
02.04.2021 04:30;194
02.04.2021 05:00;199
02.04.2021 05:30;205
02.04.2021 06:00;210
02.04.2021 06:30;213
02.04.2021 07:00;213
02.04.2021 07:30;213
02.04.2021 08:00;213
02.04.2021 08:30;212
02.04.2021 09:00;213
02.04.2021 09:30;213
02.04.2021 10:00;213
02.04.2021 10:30;212
02.04.2021 11:00;208
02.04.2021 11:30;202
02.04.2021 12:00;194
02.04.2021 12:30;186
02.04.2021 13:00;178
02.04.2021 13:30;173
