;ID;Sampler;Date;Start_Time;End_Time;Mean_Time;Start_Time (Local);End_Time (Local);Mean_Time (Local);Volume;Concentration_fine;Concentration_sable;TU;coef;S;Concentration_tot;ISCO_sand_concentration_corr_g_l;ISCO_fine_concentration_corr_g_l
0;1;ISCO;06.04.2021;09:00;09:00;09:00;11:00;11:00;11:00;900;0.052433735;0.004189558;;;12.51533813;0.056623293;0.082089558;0.162404259
1;2;ISCO;06.04.2021;10:00;10:00;10:00;12:00;12:00;12:00;890;0.053343276;0.00423665;;;12.59090933;0.057579926;0.082337675;0.16316012
2;3;ISCO;06.04.2021;10:30;10:30;10:30;12:30;12:30;12:30;300;0.00349;0.000816667;;;4.273467643;0.004306667;0.052790364;0.078138553
3;4;ISCO;06.04.2021;12:00;12:00;12:00;14:00;14:00;14:00;280;0.006475;0.000510714;;;12.67832877;0.006985714;0.046506162;0.09232881
4;5;ISCO;06.04.2021;13:00;13:00;13:00;15:00;15:00;15:00;315;0.007936508;0.00127619;;;6.218907843;0.009212698;0.059552451;0.097544425
5;6;ISCO;11.05.2021;07:15;09:15;08:15;09:15;11:15;10:15;2750;4.537090909;1.176727273;;;3.855686031;5.713818182;0.376170706;0.541542344
6;7;ISCO;11.05.2021;09:45;11:45;10:45;11:45;13:45;12:45;2800;3.822142857;1.168571429;;;3.270782395;4.990714286;0.375464968;0.517041458
7;8;ISCO;11.05.2021;12:45;14:30;13:37;14:45;16:30;15:37;2250;2.307111111;1.003555556;;;2.298937111;3.310666667;0.360345152;0.451160427
8;9;ISCO;12.05.2021;07:30;09:00;08:15;09:30;11:00;10:15;3070;0.68534202;0.395114007;;;1.734542456;1.080456027;0.280167372;0.325085417
9;10;ISCO;12.05.2021;09:30;11:00;10:15;11:30;13:00;12:15;3700;0.588378378;0.457297297;;;1.286643026;1.045675675;0.29144468;0.311967829
10;11;ISCO;12.05.2021;11:30;13:00;12:15;13:30;15:00;14:15;3450;0.59884058;0.527246377;;;1.135788895;1.126086957;0.302862968;0.313455959
11;12;ISCO;12.05.2021;13:30;14:30;14:00;15:30;16:30;16:00;2600;0.521153846;0.464230769;;;1.122618062;0.985384615;0.292631221;0.301914038
12;13;ISCO;16.06.2021;07:15;08:45;08:00;09:15;10:45;10:00;3220;2.266459627;1.43757764;;;1.576582415;3.704037267;0.397066232;0.44900012
13;14;ISCO;16.06.2021;07:45;10:15;09:00;09:45;12:15;11:00;2330;1.631330472;1.160515021;;;1.405695267;2.791845493;0.374764295;0.410855237
14;15;ISCO;16.06.2021;10:45;11:45;11:15;12:45;13:45;13:15;2300;1.675217391;1.116086957;;;1.500973899;2.791304348;0.370835216;0.413810701
15;16;ISCO;16.06.2021;12:15;13:45;13:00;14:15;15:45;15:00;3000;2.586666667;1.122;;;2.305407012;3.708666667;0.371364659;0.465310044
16;17;ISCO;06.04.2022;13:25;13:25;13:25;15:25;15:25;15:25;638;0.077671996;0.0036;;;21.57555444;0.081271996;0.078796001;0.18058177
17;18;ISCO;08.04.2022;06:15;06:15;06:15;08:15;08:15;08:15;725;0.491931034;0.0951;;;5.172776383;0.587031034;0.190726588;0.297246425
18;19;ISCO;08.04.2022;08:15;08:15;08:15;10:15;10:15;10:15;710;0.452295775;0.123;;;3.677201423;0.575295775;0.204445182;0.290580579
19;20;ISCO;08.04.2022;10:15;10:15;10:15;12:15;12:15;12:15;700;0.447785714;0.0912;;;4.909931075;0.538985714;0.188582378;0.289795384
20;21;ISCO;08.04.2022;12:15;12:15;12:15;14:15;14:15;14:15;720;0.454458333;0.086;;;5.284399221;0.540458333;0.185616715;0.29095505
