;0
0;0.0114
1;0.0129
2;0.0147
3;0.0167
4;0.0189
5;0.0215
6;0.0244
7;0.0278
8;0.0315
9;0.0358
10;0.0407
11;0.0463
12;0.0526
13;0.0597
14;0.0679
15;0.0771
16;0.0876
17;0.0995
18;0.113
19;0.128
20;0.146
21;0.166
22;0.188
23;0.214
24;0.243
25;0.276
26;0.314
27;0.357
28;0.405
29;0.46
30;0.523
31;0.594
32;0.675
33;0.767
34;0.872
35;0.991
36;1.13
37;1.28
38;1.45
39;1.65
40;1.88
41;2.13
42;2.42
43;2.75
44;3.12
45;3.55
46;4.03
47;4.58
48;5.21
49;5.92
50;6.72
51;7.64
52;8.68
53;9.86
54;11.2
55;12.7
56;14.5
57;16.4
58;18.7
59;21.2
60;24.1
61;27.4
62;31.1
63;35.3
64;40.1
65;45.6
66;51.8
67;58.9
68;66.9
69;76.0
70;86.4
71;98.1
72;111.0
73;127.0
74;144.0
75;163.0
76;186.0
77;211.0
78;240.0
79;272.0
80;310.0
81;352.0
82;400.0
83;454.0
84;516.0
85;586.0
86;666.0
87;756.0
88;859.0
89;976.0
90;1110.0
91;1260.0
92;1430.0
93;1630.0
94;1850.0
95;2100.0
96;2390.0
97;2710.0
98;3080.0
99;3500.0
