;Date;Gauging;Start_sampling;End_sampling;Start_sampling_local;End_sampling_local;Sampler;Q_sampling_m3_s;Stage_sampling_m;spm_sampling_g_l;Sand_concentration_g_l;Sand_flux_kg_s;No_samples_used_for_ISO_gsd;D10_mum;D50_mum;D90_mum;Fine_concentration_g_l;Fine_flux_kg_s;U_C;U_Q;U_F;Method;sigma_mum;S;D50_mum_fines;sigma_mum_fines;ISCO_fine_concentration_g_l;ISCO_sand_concentration_g_l
0;20210406;20210406;11:21;13:25;13:21;15:25;P72;192.571;1.989;0.094;0.028;5.522;;69.17;175.572;404.741;0.069;13.76;28.315;5.708;28.885;SDC;0.59;2.555555556;;;0.024735704;0.002205956
1;20210511;20210511;10:19;14:01;12:19;16:01;P72;451.923;3.726;1.699;0.388;198.73;;;;;1.871;959.041;51.377;5.822;51.706;SDC;;4.962864721;;;3.555448292;1.116284753
2;20210512;20210512;09:10;12:23;11:10;14:23;P72;366.1;3.124;0.495;0.281;81.731;;64.196;164.014;369.46;0.5;145.363;18.441;12.756;22.423;SDC;0.591;1.798561151;12.2875;2.231;0.598428706;0.460972113
3;20210616;20210616_AM;08:25;10:57;10:25;12:57;P6;396.111;3.34;1.451;0.761;220.956;19;38.197;113.341;296.613;1.517;440.59;11.972;12.756;17.494;SDC;0.585;2.072404372;;;;
4;20210616;20210616_PM;11:25;13:27;13:25;15:27;P6;384.75;3.26;1.974;0.802;232.951;19;40.46;125.771;348.705;2.553;741.633;13.044;12.756;18.244;SDC;0.58;3.219419924;;;;
5;20210729;20210729_AM;08:53;11:35;10:53;13:35;P6;145.5;1.611;0.053;0.105;15.237;;110.214;263.698;512.413;0.061;8.832;16.789;5.255;17.592;SDC;0.6;0.580952381;;;;
6;20210729;20210729_PM;12:15;14:55;14:15;16:55;P6;157.667;1.712;0.048;0.155;22.503;;110.214;263.698;512.413;0.051;7.333;19.188;5.255;19.894;SDC;0.6;0.337748344;;;;
7;20220406;20220406;09:20;14:34;11:20;16:34;P6;137.733;1.538;0.112;0.09;9.946;;;;;0.098;10.823;18.334;5.008;19.006;SDC;;1.113636364;;;0.077671996;0.0036
8;20220408;20220408;08:29;14:40;10:29;16:40;P6;286.941;2.622;0.598;0.381;41.17;3;57.796;174.447;438.311;0.417;45.022;15.623;4.528;16.266;SDC;0.583;1.083116883;;;0.665026458;0.262755556
9;20220409;20220409;06:45;11:05;08:45;13:05;P6;277.385;2.568;0.553;0.383;73.624;4;86.146;240.664;527.821;0.505;97.036;19.327;6.311;20.331;SDC;0.589;1.343085106;;;0.462282967;0.10705
10;20220429;20220429;08:15;12:32;10:15;14:32;P6;195.077;2.008;0.048;0.057;10.913;;153.209;317.532;580.812;0.036;6.855;32.497;6.311;33.104;SDC;0.609;0.642857143;17.42;2.286;0.024666667;0.007416667
11;20220506;20220506;07:37;11:48;09:37;13:48;P6;240.583;2.33;0.321;0.094;27.355;;92.852;210.262;415.255;0.273;79.22;17.174;12.756;21.393;SDC;0.601;2.785714286;9.463;2.375;0.232577734;0.008546423
12;20220513;20220513_AM;06:51;08:43;08:51;10:43;P6;309.375;2.764;0.497;0.232;67.324;21;52.804;184.468;425.362;0.3;87.172;19.037;12.756;22.915;SDC;0.583;1.435406699;13.812;2.394;;
13;20220513;20220513_PM;10:07;12:01;12:07;14:01;P6;295.875;2.682;0.52;0.25;72.471;20;51.354;181.82;429.444;0.858;249.14;14.199;12.756;19.087;SDC;0.582;3.746724891;13.812;2.394;0.697466667;0.041466667
14;20220519;20220519_AM;08:30;10:10;10:30;12:10;P6;342.625;2.961;1.051;0.269;78.255;10;26.259;119.836;349.2;0.844;245.063;14.388;12.756;19.229;SDC;0.574;3.149253731;15.348;2.634;0.733421053;0.087368421
15;20220519;20220519_PM;11:16;13:40;13:16;15:40;P6;331.444;2.893;1.704;0.341;99.035;2;67.936;240.902;553.784;1.719;499.152;13.054;12.756;18.252;SDC;0.582;5.07079646;15.348;2.634;1.951;0.2005
16;20220601;20220601;09:05;12:35;11:05;14:35;P6;211.364;2.125;0.059;0.067;13.335;4;67.618;238.548;491.151;0.059;11.624;27.623;5.708;28.206;SDC;0.59;0.867647059;14.144;2.177;0.174323333;0.012411667
17;20221214;20221214;08:36;12:06;09:36;13:06;P6;135.154;1.521;0.059;0.034;4.581;7;6.809;33.475;256.13;0.034;4.495;20.422;7.807;21.863;SDC;0.553;1;;;0.03;0.004
18;20230510;20230510;11:54;13:47;13:54;15:47;P6;451.25;3.722;1.12;0.448;200.351;26;49.351;141.625;360.345;1.079;482.956;11.864;10.686;15.967;SDC;0.584;2.266806723;;;1.105;1.796
19;20210406;20210406;08:30;13:30;10:30;15:30;BD;188.067;1.955;0.09;0.03;5.901;18;69.17;175.572;404.741;0.069;13.76;33.511;5.358;33.937;SDC;0.59;2.3;;;0.024735704;0.002205956
20;20210511;20210511;08:50;14:24;10:50;16:24;BD;460.067;3.783;2.074;0.326;150.038;;;;;1.871;959.041;33.511;5.358;33.937;NN;;5.407514451;;;3.555448292;1.116284753
21;20210512;20210512;07:49;13:51;09:49;15:51;BD;366;3.124;0.513;0.149;57.859;13;64.196;164.014;369.46;0.5;145.363;24.284;4.893;24.772;SDC;0.591;2.976190476;12.2875;2.231;0.598428706;0.460972113
22;20210616;20210616;07:38;14:11;09:38;16:11;BD;388.647;3.286;1.571;0.303;118.216;12;37.889;99.765;258.845;1.517;440.59;23.562;4.893;24.065;SDC;0.586;5.00660066;;;2.039918539;1.209044905
23;20210729;20210729;08:10;14:23;10:10;16:23;BD;149.875;1.647;0.052;0.047;6.366;18;110.214;263.698;512.413;0.051;7.333;45.995;6.463;46.447;SDC;0.6;1.378378378;;;;
